Year_Country,"Gross intake ratio to Grade 1 of primary education, both sexes (%)","Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, primary to tertiary, both sexes (%)","Gross enrolment ratio, primary and secondary, both sexes (%)","Gross enrolment ratio, upper secondary, both sexes (%)","Gross enrolment ratio, lower secondary, both sexes (%)","Gross enrolment ratio, tertiary, both sexes (%)","Net enrolment rate, primary, both sexes (%)","Net enrolment rate, secondary, both sexes (%)","Net enrolment rate, lower secondary, both sexes (%)","Adjusted net intake rate to Grade 1 of primary education, both sexes (%)","Adjusted net enrolment rate, lower secondary, both sexes (%)","Adjusted net enrolment rate, primary, both sexes (%)","Total net enrolment rate, primary, both sexes (%)","Total net enrolment rate, lower secondary, both sexes (%)","Net enrolment rate, upper secondary, both sexes (%)","Gross intake ratio to Grade 1 of lower secondary education, both sexes (%)","Net enrolment rate for compulsory education age group, both sexes (%)","Total net enrolment rate, upper secondary, both sexes (%)","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","Gross graduation ratio from primary education, both sexes (%)","Gross graduation ratio from lower secondary education, both sexes (%)","Percentage of repeaters in primary education, all grades, both sexes (%)","Rate of out-of-school adolescents of lower secondary school age, both sexes (%)","Repetition rate in lower secondary general education (all grades), both sexes (%)","Rate of out-of-school children of primary school age, both sexes (%)","School life expectancy, primary, both sexes (years)","School life expectancy, secondary, both sexes (years)","School life expectancy, primary and secondary, both sexes (years)","Survival rate to the last grade of lower secondary general education, both sexes (%)","Effective transition rate from primary to lower secondary general education, both sexes (%)","Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes","Repetition rate in primary education (all grades), both sexes (%)","Percentage of repeaters in lower secondary general education, all grades, both sexes (%)","Rate of out-of-school youth of upper secondary school age, both sexes (%)","Gross graduation ratio from upper secondary education, both sexes (%)","Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)","Rate of out-of-school adolescents and youth of secondary school age, both sexes (%)","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","Percentage of graduates from programmes other than Science, Technology, Engineering and Mathematics in tertiary education, both sexes (%)"
2000_Hungary,100.49593,101.11052,79.6642,97.73057,92.11581,100.38937,35.94206,87.81396,85.03628,,88.77476999999999,93.23963,96.56954,96.82911,97.64573,,,93.52165,83.7163,,,,2.10562,2.35427,,3.43046,4.05511,7.6618699999999995,11.71699,,99.99235999999999,,2.48031,,16.2837,,7.5685899999999995,9.535680000000001,13.21911,86.78089
2000_Iceland,98.37275,102.99279,90.12732,104.71951999999999,117.52666,91.50245,46.096990000000005,98.82721,82.06997,,98.45954,91.31551999999999,98.91577,98.93475,91.47909,,,99.57188000000001,75.22629,1.0900299999999998,,,,8.52091,,1.08423,7.21755,7.511419999999999,14.72897,98.90997,99.87945,,,,24.77371,,9.44616,17.86046,19.73019,80.26980999999999
2000_Indonesia,108.15221000000001,108.77768,62.6969,81.67967,39.79373,70.35122,14.879629999999999,,,,,,,,,,,,,,,,6.21033,,,,6.52666,3.30585,9.832510000000001,,,,6.20567,,,,,,,
2000_Ireland,99.84975,102.28228,91.15098,103.48254,113.3816,99.20969000000001,49.44981,94.79352,90.36688000000001,,97.60376,95.57606,99.95917,99.95917,98.38264000000001,,,,87.80951,1.8020200000000002,,,1.66957,1.6173600000000001,0.33554,0.04083,8.22776,5.2987,13.52646,98.19798,,,1.54925,0.41113,12.190489999999999,,2.57133,6.02859,34.49975,65.21936
2000_Israel,,105.9737,89.17049,104.49257,109.07786999999999,96.89381,49.47,97.77922,97.91429000000001,,88.94317,93.97484,97.8504,99.55033,99.52333,,,99.59505,96.93921,,,,,0.47667,,2.1496,6.36385,6.1808,12.54464,,,,,,3.0607900000000003,,1.9611,1.77027,,
2000_Italy,102.1451,102.70068,81.32525,96.11759,84.61273,106.08685,49.247820000000004,98.54082,86.06195,,98.10821999999999,96.62031,99.75138000000001,99.9717,98.73138,,,99.92724,81.05249,,,,0.43633999999999995,1.26862,,0.24861999999999998,5.13425,7.379230000000001,12.51348,,99.77574,,0.32256,,18.94751,,8.08,12.612919999999999,23.280720000000002,76.56555
2000_Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000_Jordan,99.30766,95.43953,72.87456,89.08114,71.27466,87.64808000000001,27.26987,88.58709,75.89125,,93.49573000000001,82.34871,92.14435999999999,92.14435999999999,84.88368,,,89.34076,62.63704,,,,0.64077,15.116320000000002,,7.855639999999999,5.6978,4.934830000000001,10.63263,,,,,,37.36296,,14.88744,22.404220000000002,,
2000_Kazakhstan,100.82924,95.75197,78.5573,93.8427,97.3745,91.06015,31.595270000000003,85.96725,87.73881999999999,,91.00229,95.42755,93.48512,93.48512,97.59153,,,,76.79445,,,,0.26475,2.40847,0.32744,6.514880000000001,3.8645,6.41675,10.28125,,98.92651,,0.22569,0.34358,23.20555,,7.37776,7.88399,,
2000_Latvia,101.06477,101.69978,84.40535,93.66734,94.79139,87.38183000000001,56.2438,,,,,,,,,,,,,,,,1.96785,,,,4.03972,7.20512,11.24484,,99.47344,,1.83814,,,,,,16.238529999999997,83.76146999999999
2000_Lebanon,113.63285,130.98639,88.29208,108.68091000000001,70.19055999999999,109.75933,38.30615,,,,,,,99.6043,,,,,,,,,8.5343,,5.3657,,6.5513,6.49699,13.04829,,96.47166999999999,,8.35764,11.1903,,,,,20.82957,79.17043000000001
2000_Lithuania,102.65836,103.14423000000001,86.58391999999999,98.95504,97.60932,96.70661,50.89682,95.59408,90.95167,,91.60659,97.10198000000001,97.92808000000001,99.88558,99.79557,,,99.91731,82.81217,7.23912,,,0.76679,0.20443,0.71506,2.07192,4.13497,7.74887,11.88385,92.76088,99.77486,,0.6439600000000001,0.8193799999999999,17.187829999999998,,3.46153,4.1380099999999995,26.75409,73.24591
