Year_Country,"Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Expenditure on tertiary education (% of government expenditure on education),"Government expenditure per student, tertiary (% of GDP per capita)",Expenditure on secondary education (% of government expenditure on education),"Government expenditure per student, secondary (% of GDP per capita)",Expenditure on primary education (% of government expenditure on education),"Government expenditure per student, primary (% of GDP per capita)","Current education expenditure, total (% of total expenditure in public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)"
2000_Cyprus,4.89277982711792,14.2683095932007,17.129930496215803,55.855751037597706,50.290889739990206,26.8186302185059,27.5694904327393,14.638770103454599,91.7948684692383,75.0957870483398,92.5879364013672,94.28890991210942,,
2000_Czechia,3.65089011192322,8.9122896194458,18.9773101806641,28.0065593719482,49.7488212585449,19.4474105834961,18.1888809204102,10.5587596893311,91.91177368164058,89.56826782226558,91.9493865966797,91.7727584838867,,
2000_Denmark,8.08432960510254,15.3441495895386,30.0013103485107,68.4637298583984,36.7402496337891,37.21644973754879,21.020399093627898,23.6179008483887,92.1229705810547,85.8744735717773,94.82821655273442,91.89215087890629,,
2000_Dominican Republic,1.88829004764557,12.9884796142578,,,,,,,,,,,,
2000_Estonia,5.3402099609375,14.6785001754761,,,,,,,,,,,99.7671966552734,99.77050018310551
2000_Finland,5.71687984466553,12.1709203720093,34.0304298400879,37.271511077880895,38.7822914123535,23.2270393371582,21.4021301269531,16.3201999664307,93.32675170898442,93.53958129882808,93.11077880859379,93.03964233398442,,
2000_France,,,17.6102199554443,,49.896278381347706,,20.169340133667,,90.4981231689453,88.5074234008789,89.7596282958984,90.3782424926758,,
2000_Georgia,2.18107008934021,12.5407199859619,,,,,,,,,,,,
2000_Germany,,,,,,,,,,,,,,
2000_Greece,3.23019003868103,6.957769870758059,24.032789230346697,19.8632907867432,40.670158386230504,19.216199874877898,,,81.8730926513672,75.61976623535159,82.74761962890629,,,
2000_Hungary,4.85891008377075,10.323610305786099,21.0196895599365,33.962009429931605,40.475559234619105,20.0444393157959,19.082330703735398,18.8993301391602,90.28192138671879,82.3733215332031,92.2828826904297,94.3539886474609,,
2000_Iceland,6.50241994857788,15.7391901016235,18.0891895294189,34.215671539306605,32.46630859375,18.4747905731201,37.011070251464794,21.6338996887207,,,,,,
2000_Indonesia,,,,,,,,,,,,,,
2000_Ireland,4.13662004470825,13.3974103927612,30.2747097015381,29.6704998016357,34.1263084411621,15.8809099197388,30.841119766235398,10.796609878539998,88.9014129638672,84.03285217285159,89.6995697021484,92.3212738037109,,
2000_Israel,6.11819982528687,12.95934009552,18.3018798828125,27.519830703735398,30.0336208343506,17.7897090911865,35.4284706115723,20.1454296112061,91.8900375366211,90.84158325195308,92.0702667236328,89.4068984985352,,
2000_Italy,4.2988600730896005,9.22249984741211,18.4998893737793,25.584810256957997,46.090999603271506,25.616689682006804,25.8183097839355,22.282169342041,92.0035934448242,82.849479675293,94.9651107788086,94.2118988037109,,
2000_Japan,,,,,,,,,,,,,,
2000_Jordan,,,,,,,,,,,,,,
2000_Kazakhstan,3.25661993026733,,,,,,,,,,,,,
2000_Latvia,5.28829002380371,14.6014795303345,16.260799407959002,22.314390182495103,48.6645698547363,22.862989425659197,20.8955192565918,19.3907299041748,94.16937255859379,79.1666717529297,93.82022094726558,93.76181030273442,99.7465667724609,99.7502593994141
2000_Lebanon,,,,,,,,,,,,,,
2000_Lithuania,,,,,,,,,,,,,,
2000_Luxembourg,,,,,,,,,,,,,,
2000_Malaysia,5.9716100692749,21.390680313110398,32.0625190734863,80.8300476074219,34.5071792602539,21.663410186767603,27.167959213256804,12.4308595657349,65.18752288818361,53.9803314208984,66.1720504760742,74.9956588745117,88.6877593994141,97.23780059814449
2000_Malta,,,,,,,,,,,,,,
2000_Mexico,3.99243998527527,19.6461296081543,,,,,40.3509407043457,11.098030090332001,,,,,90.5356216430664,96.6122817993164
2000_Montenegro,,,,,,,,,,,,,,
2000_Netherlands,4.6255002021789595,11.294059753417999,,,,,,,88.4495010375977,89.1082992553711,88.85729217529301,87.4312210083008,,
2000_New Zealand,,,,,,,,,,,,,,
2000_North Macedonia,,,,,,,,,,,,,,
2000_Norway,6.46468019485474,15.772620201110803,25.401109695434602,38.62208938598629,,,,,89.3192977905273,88.6803512573242,,,,
2000_Peru,3.22802996635437,15.250370025634801,,,28.379230499267603,9.9993896484375,41.8599891662598,8.07213020324707,95.5286178588867,,96.73251342773442,95.6089630126953,,
2000_Poland,4.99361991882324,11.869299888610803,14.463339805603,17.493389129638697,,,,,92.94727325439449,92.4955673217773,,,,
