Year_Country,"Gross intake ratio to Grade 1 of primary education, both sexes (%)","Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, primary to tertiary, both sexes (%)","Gross enrolment ratio, primary and secondary, both sexes (%)","Gross enrolment ratio, upper secondary, both sexes (%)","Gross enrolment ratio, lower secondary, both sexes (%)","Gross enrolment ratio, tertiary, both sexes (%)","Net enrolment rate, primary, both sexes (%)","Net enrolment rate, secondary, both sexes (%)","Net enrolment rate, lower secondary, both sexes (%)","Adjusted net intake rate to Grade 1 of primary education, both sexes (%)","Adjusted net enrolment rate, lower secondary, both sexes (%)","Adjusted net enrolment rate, primary, both sexes (%)","Total net enrolment rate, primary, both sexes (%)","Total net enrolment rate, lower secondary, both sexes (%)","Net enrolment rate, upper secondary, both sexes (%)","Gross intake ratio to Grade 1 of lower secondary education, both sexes (%)","Net enrolment rate for compulsory education age group, both sexes (%)","Total net enrolment rate, upper secondary, both sexes (%)","Cumulative drop-out rate to the last grade of lower secondary general education, both sexes (%)","Gross graduation ratio from primary education, both sexes (%)","Gross graduation ratio from lower secondary education, both sexes (%)","Percentage of repeaters in primary education, all grades, both sexes (%)","Rate of out-of-school adolescents of lower secondary school age, both sexes (%)","Repetition rate in lower secondary general education (all grades), both sexes (%)","Rate of out-of-school children of primary school age, both sexes (%)","School life expectancy, primary, both sexes (years)","School life expectancy, secondary, both sexes (years)","School life expectancy, primary and secondary, both sexes (years)","Survival rate to the last grade of lower secondary general education, both sexes (%)","Effective transition rate from primary to lower secondary general education, both sexes (%)","Mean years of schooling (ISCED 1 or higher), population 25+ years, both sexes","Repetition rate in primary education (all grades), both sexes (%)","Percentage of repeaters in lower secondary general education, all grades, both sexes (%)","Rate of out-of-school youth of upper secondary school age, both sexes (%)","Gross graduation ratio from upper secondary education, both sexes (%)","Rate of out-of-school children, adolescents and youth of primary and secondary school age, both sexes (%)","Rate of out-of-school adolescents and youth of secondary school age, both sexes (%)","Percentage of graduates from Science, Technology, Engineering and Mathematics programmes in tertiary education, both sexes (%)","Percentage of graduates from programmes other than Science, Technology, Engineering and Mathematics in tertiary education, both sexes (%)",pisa_math,pisa_reading,pisa_science,"Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Expenditure on tertiary education (% of government expenditure on education),"Government expenditure per student, tertiary (% of GDP per capita)",Expenditure on secondary education (% of government expenditure on education),"Government expenditure per student, secondary (% of GDP per capita)",Expenditure on primary education (% of government expenditure on education),"Government expenditure per student, primary (% of GDP per capita)","Current education expenditure, total (% of total expenditure in public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)",climate_index,resources_index,learning_index,ed_qual_index
2000_Costa Rica,0.9603426602817802,0.9953943952657103,,0.9524039240135924,0.9076478058980837,0.9183006910153775,,,,,,,,,,,,,,0.9589442024174698,,,1.0356618503239128,,1.014608299941937,,1.0429939970762963,0.9,0.9246460219784661,0.9589442024174699,0.9409413625233891,,1.0215392583929062,1.0233348379487586,,,,,,,,,,0.9755070788724016,,1.0019226197539346,,0.9467016682969898,0.9660080909137675,1.0534084530742733,0.9539208662638887,,,,,1.0638696314901939,1.0438038750048175,0.9064118564772492,0.9560987302482828,0.9991941372478093,0.8659208489060786
2000_Croatia,0.9280171682790781,0.9296251096949251,0.9383564770830991,0.9442932695549063,0.9457205413969733,0.9439584429608263,0.9463253481373494,0.9653496518122713,1.0411974461715066,1.0579333861531768,1.0619753676049266,1.077899876650706,1.0254761716903156,1.0195870669745957,1.0486904274719477,1.0260380149661934,,,1.0240248581357558,1.0957547194362647,,,1.096521909624549,1.048690427471948,1.0939926261948578,1.0256139272361668,0.9293031320954247,1.016959186729287,0.9450837147736115,1.0957547194362647,1.0975671952753985,,1.0955866381830985,1.0930577460306234,1.0240248581357558,,0.9912180827193471,1.0246660202320996,1.0106340908680758,0.9956302593578172,,,,,,,0.9841879635309665,,,,,,1.0884490919761132,,,,,0.9272975342023362,0.9962033005470265,0.9627244252582431,0.8893425506167292
2000_Cyprus,0.9444775187297165,0.9359349995665565,0.9438805495558029,0.9672528082038963,0.9551494960621176,0.9560017224636992,0.9237637088115241,1.0490348055630778,1.0604572255373381,,1.0853457829308435,1.083259114534009,1.0764039274187187,1.0745294622236887,1.0664032697446952,,,,1.0401684906517636,1.0843894126973614,,,1.0974318262755438,1.0664032697446955,1.0822088998586379,1.0765975946224957,1.0058454635936673,0.9766566252936337,0.9657872970643895,1.0843894126973614,1.095592619533035,,1.0970454106049576,1.0813812369602886,1.0401684906517639,,1.041451754351926,1.0430613852345572,,,,,,0.9808199854328493,0.9766010937776496,0.9897524170704946,1.0182580257545852,1.0250912913904173,0.993330248801259,0.9671528168319055,0.9489919182487041,1.0528609727804938,1.0084510271492164,1.0561778724223863,1.066442513453788,,,0.9434209203537923,0.9979926326389359,0.9627244252582431,0.9064311631597264
2000_Czechia,0.9489751513268773,0.9606577220640002,0.9428769341931615,0.9629961751015305,0.9424867806377747,0.9598415083563259,0.939228319192763,,,,,,,,,,,,,,,,1.09070468523046,,,,0.97909823955709,1.0228506980391148,0.9873410906088467,,1.0997381016467371,,1.0896453795753722,,,,,,0.9971964562533299,1.0083070249784414,,1.0475409836065575,,0.9487625730298094,0.929794192806892,0.9994948860380418,0.9501570939823193,1.023184551245151,0.9631055728223006,0.9244714178967359,0.9262405576384731,1.0535326010132495,1.0616524976003152,1.0524025930236993,1.05165799484151,,,0.9118485181716185,0.9507453415249636,0.978419061431574,0.8482264440783325
2000_Denmark,0.9492747434391892,0.9535202264616269,1.0017368734674779,1.0312289441181153,0.999865186596486,1.0004784312949864,0.9900396122534774,1.0724361472361843,1.0623320782004284,,1.0417517716496458,1.0875283384012262,1.076842590706724,1.0990698779280765,1.09524007566608,,,1.0990542883850831,1.038057138646972,,,,,1.09524007566608,,1.077036739502343,1.017142546110541,1.028502311233189,1.0206575351957146,,,,,,1.038057138646972,,1.0523525348704181,1.0520653687247692,0.9634531312485108,1.0398572625246894,,1.0516393442622953,,1.0632047786925658,0.9860029885457278,1.0576318139460454,1.049088906441172,0.9774265583004923,1.0359650828466485,0.9373547125893087,0.9990622418040652,1.0547459412690192,1.0480739488539357,1.069423015464726,1.0523595261828005,,,0.9435505892234779,1.0659544280337307,0.9797720473085854,0.9854370193858566
2000_Dominican Republic,1.0436716496096325,1.0075114928077389,,0.9464704312341918,0.9207650668751832,0.9,,0.9323640658815653,0.9,0.9,0.9,0.9,0.9300069665014646,0.9384724513361927,0.989688481846684,0.9,,0.9597751477387304,0.9730799720023632,,,,1.0592635036992872,0.9896884818466842,,0.9300399100157117,1.0543081863705637,0.9120074642125143,0.9438122952961232,,,,,1.0779339064739373,0.9730799720023633,,0.906444013993363,0.9486483999202069,,,,,,0.9032638492133271,0.9654165060843013,,,,,,,,,,,,,0.9,0.9500354018276017,0.9627244252582431,0.8231600575795157
2000_Estonia,0.9405502171842445,0.959285494019883,0.9820960055219269,0.9786635583719263,0.9576230341107403,0.9530966611304241,0.9853328531954733,1.05208483319353,1.050420457685516,,1.071137545772491,1.0754056825839147,1.0872508741766653,1.0865545364566151,1.0818840587746665,,,1.0859936563641919,1.0618717757351086,1.0935511163303504,,,1.0814313781195857,1.0818840587746665,1.0524069913685032,1.0874564498332693,1.0208757114864233,0.9767509744854669,0.9770328926380945,1.0935511163303506,1.0986149749603942,1.0513422042708396,1.0796052559344083,1.055338216053068,1.0618717757351086,,1.0659822311863179,1.0659557600199074,0.9694969491901342,1.0344381238596116,,,,0.9923696843681955,0.9801857984758738,,,,,,,,,,,1.1,1.0969331261299127,0.9640300750940956,0.9733683706420914,1.030937712696697,0.9673869836424245
2000_Finland,0.9486806245493695,0.9529201832857794,1.022462970646668,1.0301476092473156,1.0184764799819543,0.9612842972485169,1.0342363022767036,1.0973088380018892,1.0822092436090873,,1.095003620999276,1.0914755434654877,1.0967769380054766,1.0965084790498185,1.0825778000571527,,,1.0971193186907584,1.0740648352682902,,,,1.096453965980161,1.0825778000571527,,1.0969929719674694,1.0163089795029703,1.0385583894303145,1.0290545621989438,,1.0984997657630307,,1.0951872635485913,,1.0740648352682904,,1.0774764011509874,1.0747514174603143,1.0159159190576164,0.9906475001202846,,1.0918032786885248,,1.0020928197277483,0.958271757805324,1.0788800564939511,0.9728131140052383,0.9846094939825643,0.978603422575361,0.9390915735574444,0.9583680749910879,1.0616617440374534,1.0762512191239975,1.0592690583475444,1.0591020093993277,,,0.9797567964081519,1.0075852423908982,0.9930313089032958,0.9803090775576293
2000_France,0.9309684311023099,0.9497786442072373,0.9811370102230617,0.9966502424706216,0.9772977642300577,0.9641781160709437,0.9783965683519278,1.0520565422525752,1.066777365939055,,1.075787784842443,1.0704796188863503,1.0533618721356457,1.0531677994061366,1.0614825346584138,,,1.0583434888159542,1.068654244193424,,,,1.066828216219244,1.061482534658414,,1.053530242337926,0.97509058816211,1.0328179012295986,0.9933012302802233,,,,,,1.068654244193424,,1.0503578004142495,1.064990735351882,1.027740962193183,0.9783482917766191,,1.0581967213114756,,,,0.9922853047012098,,1.023703235554196,,0.9334824282841471,,1.0454110846491331,1.0577527872452461,1.0394561488460377,1.0434640334622696,,,0.9319989993807689,1.0115111597133108,0.9819368247118034,0.9256987386439388
2000_Georgia,0.9072221415402015,0.9301300761344098,0.943053656531501,0.9289831108108466,0.9280255664723311,0.9300174866152531,0.9567861405601826,,1.0202471776420614,,,1.0523889973867424,,,,,,,0.9579678313701787,1.0672054436595841,,,1.09802203166702,,1.0968200311447864,,0.9270979129731579,0.9707928069206582,0.9020560966209517,1.0672054436595844,1.085301094627079,,1.097564989079973,1.0967194114110868,0.9579678313701788,,,,0.9881463698252686,1.0163151278283795,,,,0.910821501414765,0.9615034809867387,,,,,,,,,,,,,0.9111981196562258,0.9509003494130969,0.9627244252582431,0.834160867674338
