,2000_ed_qual_index,2003_ed_qual_index,2006_ed_qual_index,2009_ed_qual_index,2012_ed_qual_index,2015_ed_qual_index
Iceland,0.8868465921381624,0.9074844460246432,0.9603568172021172,0.977613157410918,0.9423846830992664,0.9598130225369602
Indonesia,0.8386529329268979,0.8101589876201511,0.8470287124754956,0.8492827882667177,0.8072492093082636,0.8747985540584245
Ireland,0.9255857354042348,0.958120036047516,0.9758183124415036,1.0065751866482426,1.0099441359962011,1.0261878380661629
Israel,0.9010178528681186,0.9241915967439746,0.9038737677856702,0.9141132201271708,0.9405748204726864,0.9537078714876012
Italy,0.9073463941582802,0.9334128009068886,0.9499443246870536,0.9698343853096261,0.9616807053446956,0.9821285730940744
Japan,0.8829963637126998,0.8987693738042466,0.915275716636852,0.926356259448008,0.940532211832512,0.9865029053776114
Jordan,0.8548406129270186,0.9006543809515763,0.8374418359552877,0.840766740671619,0.8925263208234423,0.8377858860744055
Kazakhstan,0.8589685804091941,0.8950672161192934,0.8986000337569723,0.9410105482461398,0.9734398981377441,0.9368498483334738
Latvia,0.9287646674344386,0.8794515168677215,0.873665454923059,0.924663436608708,0.9508438618296126,0.936641836294286
Lebanon,0.8663468375204825,0.8662223115467842,0.8489861413007983,0.8428281210574315,0.8256775504495827,0.8178900894397608
Lithuania,0.9114515589987672,0.9187126666219204,0.9182841690586002,0.9469243318458492,0.9484470657379372,0.9708872993949133
Luxembourg,0.8740573081685596,0.8830596822960853,0.9044079080793952,0.8867957207828782,0.8835738272642892,0.8909179187467472
Malaysia,0.8244377545017159,0.8384743107887561,0.8544678070934898,0.8805362952369613,0.8856767913405834,0.8917723504647295
Malta,0.8663566335865152,0.8640535371621474,0.86940744668425,0.8997086487700018,0.9581942940817004,0.9651291080025184
Mexico,0.85449795337555,0.8827722178407321,0.875949232425403,0.901098192379274,0.8990144005941653,0.9172046366846828
Montenegro,0.8616830254142732,0.9143969068489084,0.8443366191128232,0.8430108597721914,0.8562586009054022,0.8815346991701972
Netherlands,0.8853499793433551,0.9446782885671534,0.9560765003916596,0.964784453677872,0.97313730935429,0.9488666150941
New Zealand,0.8845175188608689,0.9073244653228,0.9221817354909358,0.9241575575671692,0.9188470349037484,0.9371166258116758
North Macedonia,0.8513165648084924,0.8620901286721078,0.8673074437389294,0.8601593433824655,0.8524905251913826,0.8195278726512718
Norway,0.964176836512596,0.9886463381813462,0.961143718622532,0.9890570707601816,0.9616269888577478,1.0027474124962767
Peru,0.8489975485202483,0.8402417496706823,0.8538431842963332,0.8050036987949585,0.8016344963085896,0.8442929563480632
Poland,0.8899522658439002,0.9408171077478984,0.9149463485601944,0.9275991173808054,0.9506669982392486,0.9821770605371408
Portugal,0.9126438479787864,0.9291913727432172,0.9191603736740694,0.9290861156370496,0.8961706362246892,0.9680496736064936
Qatar,0.8408961038578031,0.8388644360482588,0.8170578808968657,0.7977315158897261,0.8242158598760654,0.8557101761235614
Republic of Korea,0.9227581966003372,0.9074867343060279,0.9713908287391544,0.9478893134441988,0.995610798435637,1.0095146864212554
Republic of Moldova,0.8997546103717672,0.8702719114970294,0.9146083135944716,0.9633304117814092,1.0053525559821777,0.9298750363198464
Romania,0.8283316182863717,0.8386435456649938,0.8241327102264377,0.8382250598759164,0.8327922361766212,0.8411242276238241
Russian Federation,0.8213244603275169,0.8329930428024173,0.8413442084723959,0.8728884294781154,0.8889038756733506,0.9172600507765064
Singapore,0.8930395275199124,0.8614115963274817,0.8519158944770658,0.8916684794531241,0.9989582595937866,0.980847107430742
Slovakia,0.8393317376392836,0.8725893048595554,0.8822893223882055,0.8870311750150148,0.8755511550231467,0.8493465573844504
Slovenia,0.8921411702291319,0.916976193025748,0.9473308464855799,0.9779710565600106,0.9886171887524424,1.026432950780627
Spain,0.8943514938105147,0.9030801333913552,0.9064488703091044,0.9977876738220626,1.0054385696648975,1.0590251068430705
Sweden,1.042887362544999,1.0153933068050631,0.9777324854009676,0.9964221566524502,0.9683475710363176,1.0416545028496524
Switzerland,0.92852905425193,0.9678713163711484,0.9610455440815172,0.971320599319074,0.9926652591073286,1.0036171273033712
Thailand,0.8769110261724148,0.8477002552957047,0.8414734711877511,0.8090083629416567,0.8819272686408619,0.8852933743060932
Trinidad and Tobago,0.8874454088083459,0.840309884604111,0.8616830254142732,0.8588450520339559,0.8616830254142732,0.8534206875714995
Tunisia,0.8989444669289635,0.857153654290535,0.8598113590742911,0.8816019344859429,0.8985052245871987,0.8979332198325432
Turkey,0.8393385006188259,0.8478486068664217,0.8383663954630175,0.8834277882577829,0.9074241312352058,0.8844805013776926
United Arab Emirates,0.8718704061645206,0.8721318871935506,0.8912127705474142,0.9029799557792074,0.8696421700481334,0.8651596657560556
United Kingdom of Great Britain and Northern Ireland,0.904079914473966,0.9337234309153848,0.929047011377542,0.9302711541430152,0.9306130008408474,1.0077889524282246
United States of America,0.8822747885406826,0.8902520883502563,0.8765149425761756,0.9008323518624308,0.9009604466199852,0.930917393728388
Uruguay,0.8293635716178028,0.8092910946711619,0.8768446777349004,0.9130935895255722,0.8959435995272576,1.0077748224529115
Viet Nam,0.8659141577350291,0.8580586927829985,0.8589934524740509,0.839819116510135,0.8891923819393114,0.9022192143985484
